"extracted_date","price_co","open_co","high_co","low_co","vol_co","change_percent_co","price_ng","open_ng","high_ng","low_ng","vol_ng","change_percent_ng","price_ho","open_ho","high_ho","low_ho","vol_ho","change_percent_ho"
2019-03-04 00:00:00.000,"56.590","55.830","57.000","55.810","549.40K","1.42%","2.857","2.845","2.888","2.821","103.66K",-0.07%,"2.014","2.000","2","1.998","56.05K","0.66%"
2019-08-29 00:00:00.000,"56.710","55.880","56.890","55.430","630.76K","1.67%","2.296","2.235","2.31","2.218","200.41K","2.00%","1.864","1.854","2","1.845","16.02K","0.70%"
2019-02-20 00:00:00.000,"56.920","55.940","57.550","55.480","37.68K","1.48%","2.636","2.66","2.689","2.631","110.14K",-0.98%,"2.018","1.998","2","1.979","27.76K","1.19%"
2019-09-06 00:00:00.000,"56.520","56.190","56.950","54.830","714.29K","0.39%","2.496","2.435","2.505","2.403","201.59K","2.51%","1.900","1.887","2","1.844","50.03K","0.62%"
2019-03-08 00:00:00.000,"56.070","56.430","56.510","54.520","747.36K",-1.04%,"2.865","2.865","2.895","2.856","85.88K",-0.03%,"2.000","2.006","2","1.945","84.70K",-0.64%
2018-11-19 00:00:00.000,"56.760","56.720","57.330","55.080","33.58K","0.53%","4.7","4.625","4.779","4.427","264.57K","10.02%","2.086","2.079","2","2.053","48.10K","0.61%"
2019-11-12 00:00:00.000,"56.800","56.890","57.550","56.540","586.57K",-0.11%,"2.621","2.637","2.685","2.607","199.64K",-0.61%,"1.898","1.915","2","1.892","70.34K",-0.87%
2019-02-28 00:00:00.000,"57.220","57.000","57.430","56.430","496.68K","0.49%","2.812","2.808","2.843","2.787","118.34K","0.46%","2.024","2.025","2","2.009","8.85K","0.09%"
2019-07-24 00:00:00.000,"55.880","57.230","57.640","55.330","745.25K",-1.57%,"2.22","2.29","2.297","2.212","116.59K",-3.48%,"1.909","1.925","2","1.892","25.40K",-0.68%
2021-03-24 00:00:00.000,"61.180","57.400","61.340","57.290","566.29K","5.92%","2.518","2.515","2.545","2.503","48.42K","0.40%","1.826","1.734","2","1.733","23.15K","4.39%"
2019-06-24 00:00:00.000,"57.900","57.720","58.220","56.750","597.16K","0.82%","2.303","2.197","2.316","2.195","67.65K","5.35%","1.909","1.927","2","1.890","25.57K",-0.36%
2019-06-25 00:00:00.000,"57.830","57.740","58.840","57.200","673.14K",-0.12%,"2.308","2.303","2.315","2.255","55.01K","0.22%","1.923","1.906","2","1.892","23.18K","0.76%"
2019-11-26 00:00:00.000,"58.410","57.920","58.560","57.760","443.82K","0.69%","2.47","2.52","2.532","2.421","12.00K",-2.41%,"1.961","1.944","2","1.940","23.13K","0.84%"
2021-02-12 00:00:00.000,"59.470","57.940","59.820","57.410","480.82K","2.11%","2.912","2.87","2.987","2.834","190.05K","1.53%","1.771","1.742","2","1.724","66.42K","1.54%"
2020-04-22 00:00:00.000,"13.780","13.120","16.180","10.260","1.24M","37.66%","1.939","1.836","1.952","1.774","162.99K","6.48%","0.731","0.767","1","0.673","32.35K","0.58%"
2020-04-29 00:00:00.000,"15.060","13.350","16.780","12.670","554.13K","22.04%","1.869","1.949","1.973","1.86","159.45K","4.18%","0.695","0.633","1","0.629","13.04K","10.10%"
2020-04-30 00:00:00.000,"18.840","15.640","19.440","15.450","545.34K","25.10%","1.949","1.878","1.953","1.825","169.44K","4.28%","0.732","0.743","1","0.721","4.51K","5.39%"
2020-03-25 00:00:00.000,"24.490","24.370","25.240","22.910","618.73K","2.00%","1.659","1.673","1.716","1.638","42.56K","0.36%","1.098","1.087","1","1.054","17.14K","1.62%"
2020-04-13 00:00:00.000,"22.410","24.600","24.740","22.030","775.12K",-1.54%,"1.724","1.752","1.813","1.698","196.13K",-0.52%,"0.995","1.018","1","0.940","49.61K","2.26%"
2020-03-20 00:00:00.000,"22.430","24.730","27.890","19.460","29.76K",-11.06%,"1.604","1.647","1.7","1.574","160.48K",-3.02%,"1.006","1.041","1","1.001","27.73K",-3.40%
2020-03-17 00:00:00.000,"26.950","28.690","30.300","26.630","545.82K",-6.10%,"1.729","1.797","1.82","1.711","163.79K",-4.74%,"1.036","1.040","1","1.031","53.84K",-1.04%
2020-03-12 00:00:00.000,"31.500","33.070","33.630","30.020","1.03M",-4.49%,"1.841","1.883","1.883","1.75","280.15K",-1.97%,"1.160","1.243","1","1.120","102.09K",-6.32%
2020-05-22 00:00:00.000,"33.250","33.950","34.000","30.720","429.04K",-1.98%,"1.731","1.726","1.76","1.68","53.71K","1.23%","0.982","0.987","1","0.934","25.21K",-0.71%
2020-11-02 00:00:00.000,"36.810","35.240","37.150","33.640","489.20K","2.85%","3.244","3.374","3.393","3.214","156.21K",-3.28%,"1.112","1.074","1","1.025","70.78K","2.87%"
2020-06-02 00:00:00.000,"36.810","35.560","37.060","35.280","343.48K","3.87%","1.777","1.78","1.801","1.758","142.96K","0.17%","1.092","1.035","1","1.034","53.02K","6.13%"
2020-06-03 00:00:00.000,"37.290","36.860","38.180","35.880","494.25K","1.30%","1.821","1.774","1.861","1.771","200.60K","2.48%","1.065","1.089","1","1.046","55.34K",-2.52%
2020-10-05 00:00:00.000,"39.220","37.000","39.720","37.000","378.58K","5.86%","2.615","2.455","2.727","2.446","195.41K","7.26%","1.133","1.085","1","1.084","70.68K","4.45%"
2020-06-05 00:00:00.000,"39.550","37.330","39.680","37.050","396.86K","5.72%","1.782","1.821","1.864","1.777","207.23K",-2.20%,"1.151","1.072","1","1.071","49.61K","7.12%"
2020-11-04 00:00:00.000,"39.150","38.150","39.250","37.260","437.00K","3.96%","3.046","3.056","3.091","3.002","145.54K",-0.42%,"1.174","1.135","1","1.111","68.02K","4.12%"
2020-09-30 00:00:00.000,"40.220","39.160","40.370","38.680","340.29K","2.37%","2.527","2.502","2.579","2.425","145.93K",-1.33%,"1.145","1.107","1","1.100","3.64K","3.28%"
2020-06-08 00:00:00.000,"38.190","39.410","40.440","37.960","416.64K",-3.44%,"1.789","1.81","1.816","1.75","206.09K","0.39%","1.121","1.152","1","1.116","46.05K",-2.55%
2020-07-10 00:00:00.000,"40.550","39.580","40.770","38.540","393.15K","2.35%","1.805","1.776","1.835","1.737","166.22K","1.46%","1.241","1.224","1","1.199","44.54K","1.41%"
2020-09-23 00:00:00.000,"39.930","39.760","40.750","39.260","318.75K","0.83%","2.125","1.845","2.207","1.815","100.58K","15.87%","1.108","1.099","1","1.087","28.38K","1.04%"
2020-10-07 00:00:00.000,"39.950","39.830","40.350","39.280","433.07K",-1.77%,"2.606","2.511","2.686","2.466","211.07K","3.41%","1.161","1.171","1","1.144","76.21K",-2.34%
2020-09-25 00:00:00.000,"40.250","40.150","40.640","39.710","229.03K",-0.15%,"2.139","2.178","2.26","2.101","40.39K",-4.85%,"1.126","1.112","1","1.110","21.56K","0.85%"
2020-10-19 00:00:00.000,"40.830","40.690","41.220","40.540","75.34K",-0.12%,"2.795","2.641","2.89","2.638","150.45K","0.79%","1.158","1.177","1","1.151","43.64K",-1.78%
2020-11-13 00:00:00.000,"40.130","40.940","40.940","40.060","338.19K",-2.41%,"2.995","2.949","3.087","2.949","127.13K","0.64%","1.204","1.227","1","1.201","61.18K",-2.36%
2020-07-30 00:00:00.000,"39.920","41.320","41.390","38.720","487.33K",-3.27%,"1.829","1.921","1.928","1.818","165.71K",-1.35%,"1.212","1.258","1","1.165","9.50K",-3.30%
2020-08-10 00:00:00.000,"41.940","41.500","42.330","41.170","367.80K","1.75%","2.153","2.257","2.275","2.118","207.91K",-3.80%,"1.237","1.227","1","1.222","46.44K","1.39%"
2020-09-03 00:00:00.000,"41.370","41.630","41.790","40.220","417.63K",-0.34%,"2.487","2.489","2.567","2.455","146.08K","0.04%","1.168","1.188","1","1.138","85.47K",-1.75%
